alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9987,0.9988,0.9988,0.9984,0.9924,0.8941,0.8403,0.8199,0.8004,0.7816,0.7619,0.7446,0.7267,0.7091,0.6934,0.6772,0.6610,0.6476,0.6324,0.6193,0.6044,0.5924,0.5783,0.5669,0.5547,0.5421,0.5317,0.5211,0.5110,0.5000,0.4902,0.4805,0.4725,0.4632,0.4537,0.4455,0.4370,0.4293,0.4224,0.4144,0.4067,0.3997,0.3938,0.3869,0.3799,0.3736,0.3684,0.3626,0.3564,0.3502
0.02,0.9988,0.9987,0.9987,0.9980,0.9721,0.8652,0.8404,0.8205,0.8002,0.7816,0.7628,0.7456,0.7268,0.7101,0.6936,0.6786,0.6616,0.6475,0.6338,0.6193,0.6056,0.5916,0.5782,0.5653,0.5554,0.5441,0.5333,0.5207,0.5098,0.5013,0.4902,0.4814,0.4697,0.4633,0.4549,0.4452,0.4365,0.4277,0.4149,0.4001,0.3780,0.3662,0.3340,0.2826,0.2554,0.1984,0.1563,0.1067,0.0703,0.0329
0.03,0.9987,0.9988,0.9988,0.9964,0.9394,0.8624,0.8411,0.8196,0.8008,0.7809,0.7630,0.7446,0.7272,0.7107,0.6943,0.6789,0.6623,0.6464,0.6325,0.6190,0.6048,0.5927,0.5796,0.5669,0.5549,0.5438,0.5329,0.5193,0.5112,0.4936,0.4742,0.4558,0.4284,0.3895,0.3261,0.2131,0.1834,0.1074,0.0386,0.0208,0.0056,0.0010,0.0005,-0.0034,0.0005,0.0026,0.0006,0.0027,0.0017,-0.0015
0.04,0.9988,0.9988,0.9986,0.9945,0.9145,0.8621,0.8401,0.8205,0.7995,0.7827,0.7627,0.7444,0.7272,0.7101,0.6946,0.6779,0.6627,0.6480,0.6331,0.6187,0.6051,0.5922,0.5761,0.5679,0.5458,0.5210,0.4748,0.4333,0.3818,0.2751,0.1698,0.0928,0.0282,0.0099,0.0004,0.0023,-0.0022,0.0039,0.0009,0.0025,-0.0000,0.0003,-0.0015,0.0006,0.0012,-0.0011,0.0000,-0.0008,0.0008,0.0007
0.05,0.9988,0.9988,0.9986,0.9883,0.9009,0.8624,0.8416,0.8204,0.8022,0.7819,0.7637,0.7454,0.7269,0.7103,0.6954,0.6782,0.6643,0.6475,0.6337,0.6177,0.6038,0.5814,0.5367,0.4939,0.4044,0.2836,0.1755,0.0501,0.0128,-0.0039,-0.0039,0.0031,-0.0010,0.0037,0.0039,-0.0008,0.0019,0.0037,0.0006,-0.0010,0.0012,0.0005,0.0018,0.0015,0.0005,0.0007,0.0001,0.0021,0.0000,0.0007
0.06,0.9988,0.9988,0.9988,0.9823,0.8903,0.8619,0.8413,0.8214,0.8011,0.7819,0.7637,0.7455,0.7285,0.7102,0.6948,0.6780,0.6635,0.6457,0.6223,0.5959,0.5406,0.4616,0.3193,0.1700,0.0385,0.0159,0.0068,-0.0041,0.0005,0.0028,0.0048,-0.0033,0.0014,-0.0000,-0.0013,-0.0004,0.0017,-0.0002,-0.0008,0.0001,0.0010,0.0009,-0.0009,-0.0005,0.0021,0.0010,0.0005,0.0007,0.0007,-0.0001
0.07,0.9988,0.9988,0.9983,0.9770,0.8900,0.8624,0.8413,0.8217,0.8007,0.7818,0.7636,0.7461,0.7281,0.7108,0.6950,0.6738,0.6528,0.5964,0.5384,0.4099,0.2179,0.0978,0.0122,0.0046,0.0045,-0.0009,0.0045,0.0016,0.0014,-0.0016,0.0025,-0.0000,0.0011,-0.0033,-0.0002,-0.0004,0.0019,0.0005,0.0011,-0.0006,-0.0002,0.0009,0.0014,0.0006,0.0025,0.0006,0.0024,0.0006,0.0012,-0.0014
0.08,0.9988,0.9988,0.9979,0.9651,0.8890,0.8619,0.8419,0.8216,0.8017,0.7828,0.7641,0.7454,0.7274,0.7094,0.6863,0.6349,0.5657,0.4198,0.2597,0.0694,0.0097,0.0020,-0.0040,0.0007,-0.0049,0.0034,0.0025,0.0046,0.0004,0.0003,0.0030,0.0005,0.0017,0.0003,0.0018,-0.0000,0.0015,-0.0001,0.0006,-0.0007,0.0011,0.0023,0.0001,0.0003,0.0026,-0.0008,0.0002,0.0002,-0.0000,-0.0001
0.09,0.9988,0.9988,0.9970,0.9596,0.8865,0.8622,0.8415,0.8204,0.8013,0.7831,0.7647,0.7444,0.7196,0.6972,0.6451,0.5062,0.3334,0.1368,0.0199,0.0031,-0.0020,-0.0018,-0.0073,0.0037,-0.0002,-0.0001,0.0030,0.0009,0.0012,0.0007,0.0004,0.0013,0.0027,-0.0011,0.0003,-0.0004,-0.0006,0.0021,-0.0007,-0.0011,-0.0007,0.0012,0.0011,0.0015,-0.0001,0.0019,0.0008,0.0004,0.0013,0.0004
0.10,0.9988,0.9988,0.9974,0.9555,0.8845,0.8629,0.8413,0.8220,0.8021,0.7832,0.7650,0.7462,0.7087,0.6202,0.4290,0.2416,0.0537,0.0048,-0.0018,0.0008,0.0019,-0.0044,0.0040,0.0011,0.0028,0.0037,0.0026,0.0010,0.0006,-0.0002,0.0017,-0.0004,0.0012,-0.0003,0.0007,0.0002,-0.0006,0.0011,0.0008,0.0007,0.0006,0.0017,0.0002,-0.0004,0.0006,-0.0001,-0.0001,0.0008,0.0012,0.0005
0.11,0.9988,0.9988,0.9958,0.9465,0.8845,0.8631,0.8427,0.8225,0.8020,0.7833,0.7577,0.7241,0.6468,0.4830,0.2025,0.0538,-0.0065,-0.0018,0.0015,0.0007,-0.0002,0.0004,-0.0022,-0.0040,0.0026,0.0007,-0.0002,-0.0014,-0.0005,0.0041,-0.0019,-0.0005,0.0026,0.0011,0.0006,0.0010,-0.0023,-0.0016,0.0006,0.0009,0.0007,-0.0017,0.0007,0.0015,0.0015,0.0011,0.0008,-0.0002,-0.0000,0.0014
0.12,0.9988,0.9988,0.9967,0.9359,0.8830,0.8631,0.8413,0.8211,0.8021,0.7801,0.7501,0.6589,0.4297,0.1569,0.0333,-0.0044,0.0081,-0.0053,-0.0026,-0.0014,0.0002,-0.0012,0.0011,0.0007,-0.0011,-0.0006,0.0014,0.0013,0.0006,0.0007,-0.0013,0.0025,-0.0010,-0.0001,0.0022,0.0002,0.0014,0.0005,0.0000,0.0010,-0.0011,0.0021,-0.0009,0.0013,0.0003,0.0001,-0.0015,-0.0011,0.0007,-0.0007
0.13,0.9988,0.9988,0.9943,0.9339,0.8848,0.8624,0.8417,0.8224,0.8003,0.7642,0.6899,0.4800,0.1898,0.0254,0.0098,-0.0012,0.0033,-0.0006,0.0039,-0.0011,0.0005,0.0006,0.0009,0.0017,-0.0008,-0.0007,-0.0023,0.0021,-0.0007,0.0011,0.0012,-0.0000,-0.0007,0.0017,-0.0013,0.0010,0.0006,-0.0005,0.0016,-0.0009,0.0016,-0.0000,0.0003,0.0021,-0.0002,0.0004,-0.0004,-0.0003,-0.0009,0.0004
0.14,0.9988,0.9988,0.9929,0.9264,0.8841,0.8622,0.8416,0.8209,0.7923,0.7243,0.5536,0.2752,0.0264,0.0085,0.0024,0.0032,0.0065,0.0001,-0.0031,0.0012,0.0010,0.0017,0.0017,-0.0006,0.0018,-0.0006,0.0009,0.0022,-0.0002,-0.0008,-0.0007,-0.0003,0.0002,-0.0005,0.0005,-0.0012,-0.0009,-0.0004,0.0003,0.0005,0.0019,-0.0001,0.0001,0.0005,-0.0001,0.0021,0.0004,0.0016,-0.0006,0.0010
0.15,0.9988,0.9988,0.9902,0.9227,0.8853,0.8635,0.8422,0.8187,0.7836,0.6616,0.3491,0.0528,-0.0001,0.0011,0.0015,0.0068,-0.0036,-0.0084,-0.0014,0.0013,0.0002,0.0002,-0.0005,0.0025,-0.0003,0.0024,0.0003,-0.0015,0.0007,0.0010,-0.0015,-0.0013,0.0013,0.0018,0.0022,0.0002,0.0002,-0.0001,0.0005,-0.0007,-0.0007,-0.0009,0.0011,-0.0005,0.0005,0.0004,-0.0005,0.0023,0.0001,0.0006
0.16,0.9988,0.9987,0.9874,0.9188,0.8850,0.8626,0.8412,0.8041,0.7053,0.4142,0.0961,0.0098,0.0033,-0.0001,-0.0037,0.0061,0.0030,0.0015,0.0016,-0.0014,-0.0002,0.0017,0.0026,-0.0000,0.0001,0.0005,0.0013,0.0003,0.0002,0.0005,0.0025,0.0018,0.0005,0.0012,0.0009,0.0001,-0.0010,0.0013,0.0009,0.0006,0.0007,0.0009,-0.0005,0.0006,0.0007,-0.0009,-0.0006,-0.0000,-0.0010,0.0009
0.17,0.9988,0.9988,0.9826,0.9145,0.8846,0.8637,0.8265,0.7440,0.5448,0.1906,-0.0084,0.0039,0.0037,-0.0048,0.0009,0.0079,0.0027,0.0004,0.0004,0.0019,0.0000,0.0009,-0.0013,0.0017,-0.0008,0.0008,0.0013,0.0016,-0.0018,0.0019,0.0013,0.0021,-0.0005,-0.0011,0.0000,-0.0004,0.0007,0.0015,0.0006,0.0022,-0.0007,-0.0003,0.0002,0.0002,0.0004,0.0002,0.0006,0.0002,0.0015,0.0011
