# generator=kinetics_boundary_LSE.jl  N=1000  T_MC=100000  N_TRIALS=64  TH_Z=0.02  WINDOW_K=3  dT=0.01  generated=2026-06-21T23:04:23.907
alpha,T_bd
0.200,0.49500
0.210,0.49500
0.220,0.49500
0.230,0.49500
0.240,0.49500
0.250,0.49500
0.260,0.49500
0.270,0.49500
0.280,0.49500
0.290,0.49500
0.300,0.49500
0.310,0.49500
0.320,0.49500
0.330,0.49500
0.340,0.49500
0.350,0.49500
0.360,0.49500
0.370,0.49500
0.380,0.49500
0.390,0.49500
0.400,0.48500
0.410,0.45500
0.420,0.43500
0.430,0.40500
0.440,0.38500
0.450,0.36500
0.460,0.34500
0.470,0.31500
0.480,0.29500
0.490,0.27500
0.500,0.24500
0.510,0.22500
0.520,0.20500
0.530,0.18500
0.540,0.16500
0.550,0.14500
0.560,0.12500
0.570,0.09500
0.580,0.07500
0.590,0.05500
0.600,0.03500
0.610,0.01500
0.620,0.00500
0.630,nan
0.640,nan
0.650,nan
